date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:53:28	191488/191488	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Feb%202022%2015:15:34%20GMT	https://index/tf/html/vicodin-preview/vicodin/index.html	C:/My%20Web%20Sites/MEDICINE/index/tf/html/vicodin-preview/vicodin/index.html	(from )
11:53:30	118/118	---M-Z	200	added ('OK')	text/plain	date:Tue,%2013%20Feb%202024%2008:53:30%20GMT	https://index/robots.txt		(from )
11:53:30	2715/2715	---M--	200	added ('OK')	image/png	date:Sat,%2021%20Aug%202021%2021:34:14%20GMT	https://index/tf/html/vicodin-preview/vicodin/img/favicon.png	C:/My%20Web%20Sites/MEDICINE/index/tf/html/vicodin-preview/vicodin/img/favicon.png	(from https://index/tf/html/vicodin-preview/vicodin/index.html)
11:53:31	70945/70945	---M-Z	200	added ('OK')	text/css	date:Mon,%2023%20Aug%202021%2012:30:22%20GMT	https://index/tf/html/vicodin-preview/vicodin/css/font-icons.css	C:/My%20Web%20Sites/MEDICINE/index/tf/html/vicodin-preview/vicodin/css/font-icons.css	(from https://index/tf/html/vicodin-preview/vicodin/index.html)
11:53:32	246554/246554	---M-Z	200	added ('OK')	text/css	date:Wed,%2008%20Sep%202021%2012:03:36%20GMT	https://index/tf/html/vicodin-preview/vicodin/css/plugins.css	C:/My%20Web%20Sites/MEDICINE/index/tf/html/vicodin-preview/vicodin/css/plugins.css	(from https://index/tf/html/vicodin-preview/vicodin/index.html)
11:53:32	1504/1504	---M-Z	200	added ('OK')	text/css	date:Sat,%2005%20Dec%202020%2016:10:56%20GMT	https://index/tf/html/vicodin-preview/vicodin/css/responsive.css	C:/My%20Web%20Sites/MEDICINE/index/tf/html/vicodin-preview/vicodin/css/responsive.css	(from https://index/tf/html/vicodin-preview/vicodin/index.html)
11:53:32	392191/392191	---M-Z	200	added ('OK')	text/css	date:Wed,%2008%20Sep%202021%2011:56:08%20GMT	https://index/tf/html/vicodin-preview/vicodin/css/style.css	C:/My%20Web%20Sites/MEDICINE/index/tf/html/vicodin-preview/vicodin/css/style.css	(from https://index/tf/html/vicodin-preview/vicodin/index.html)
11:53:32	54691/54691	---M-Z	200	added ('OK')	text/html	date:Wed,%2001%20Sep%202021%2009:10:06%20GMT	https://index/tf/html/vicodin-preview/vicodin/locations.html	C:/My%20Web%20Sites/MEDICINE/index/tf/html/vicodin-preview/vicodin/locations.html	(from https://index/tf/html/vicodin-preview/vicodin/index.html)
11:53:33	2776/2776	---M--	200	added ('OK')	image/png	date:Sat,%2021%20Aug%202021%2010:10:08%20GMT	https://index/tf/html/vicodin-preview/vicodin/img/logo.png	C:/My%20Web%20Sites/MEDICINE/index/tf/html/vicodin-preview/vicodin/img/logo.png	(from https://index/tf/html/vicodin-preview/vicodin/index.html)
11:53:33	61194/61194	---M--	200	added ('OK')	image/jpeg	date:Wed,%2001%20Sep%202021%2009:27:54%20GMT	https://index/tf/html/vicodin-preview/vicodin/img/home-demos/home-1.jpg	C:/My%20Web%20Sites/MEDICINE/index/tf/html/vicodin-preview/vicodin/img/home-demos/home-1.jpg	(from https://index/tf/html/vicodin-preview/vicodin/index.html)
